case_id,filename,shape_x,shape_y,shape_z,ndim,voxel_x_mm,voxel_y_mm,voxel_z_mm,fov_x_mm,fov_y_mm,fov_z_mm,anisotropy_ratio,dtype,int_min,int_max,int_mean,int_std,p1,p5,p95,p99,has_nan,has_inf
topaneu_center1_mr_173.nii,topaneu_center1_mr_173_0000.nii.gz,356,461,229,3,0.3819,0.3819,0.45,135.97,176.08,103.05,1.1781,int16,0.0,897.0,61.9205,46.239,0.0,0.9992,127.0049,171.9951,False,False
topaneu_center1_mr_177.nii,topaneu_center1_mr_177_0000.nii.gz,610,721,160,3,0.2344,0.2344,0.7,142.97,168.98,112.0,2.9867,int16,0.0,398.0,42.116,26.5173,0.0,4.9982,75.9987,105.9997,False,False
topaneu_center1_mr_178.nii,topaneu_center1_mr_178_0000.nii.gz,362,465,243,3,0.3819,0.3819,0.45,138.26,177.6,109.36,1.1783,int16,0.0,918.0,72.1077,49.2033,0.0,2.0031,141.0023,195.9969,False,False
topaneu_center1_mr_184.nii,topaneu_center1_mr_184_0000.nii.gz,622,733,160,3,0.2344,0.2344,0.7,145.78,171.8,112.0,2.9867,int16,0.0,458.0,47.1323,30.5082,0.0,4.9969,90.999,123.9993,False,False
topaneu_center1_mr_188.nii,topaneu_center1_mr_188_0000.nii.gz,367,434,223,3,0.3819,0.3819,0.4498,140.17,165.76,100.3,1.1775,int16,0.0,915.0,70.4248,51.7266,0.0,1.9966,147.006,211.9991,False,False
topaneu_center1_mr_189.nii,topaneu_center1_mr_189_0000.nii.gz,649,740,193,3,0.2344,0.2344,0.5,152.11,173.44,96.5,2.1333,int16,0.0,1055.0,110.4151,73.8298,0.0,10.9951,216.0066,313.9967,False,False
topaneu_center1_mr_191.nii,topaneu_center1_mr_191_0000.nii.gz,576,698,184,3,0.2455,0.2455,0.5,141.43,171.38,92.0,2.0364,int16,0.0,1079.0,92.7054,61.621,0.0,9.0061,183.0027,249.9967,False,False
topaneu_center1_mr_193.nii,topaneu_center1_mr_193_0000.nii.gz,321,355,204,3,0.4365,0.4365,0.47,140.12,154.96,95.88,1.0767,int16,0.0,410.0,43.7305,29.6427,0.0,1.001,87.9997,108.0008,False,False
topaneu_center1_mr_195.nii,topaneu_center1_mr_195_0000.nii.gz,379,445,219,3,0.3819,0.3819,0.45,144.76,169.97,98.56,1.1783,int16,0.0,1056.0,83.6626,59.9809,0.0,1.9981,183.0013,230.0045,False,False
topaneu_center1_mr_198.nii,topaneu_center1_mr_198_0000.nii.gz,368,414,248,3,0.3819,0.3819,0.45,140.56,158.12,111.59,1.1781,int16,0.0,837.0,62.1642,44.302,0.0,0.9962,114.9973,148.9958,False,False
topaneu_center1_mr_200.nii,topaneu_center1_mr_200_0000.nii.gz,586,711,199,3,0.2455,0.2455,0.5,143.88,174.58,99.5,2.0364,int16,0.0,1027.0,90.8746,59.4673,0.0,9.9981,169.9992,251.0026,False,False
topaneu_center1_mr_202.nii,topaneu_center1_mr_202_0000.nii.gz,368,437,203,3,0.3819,0.3819,0.4502,140.56,166.91,91.39,1.1787,int16,0.0,937.0,65.4164,49.8225,0.0,2.0017,139.0023,183.9971,False,False
topaneu_center1_mr_210.nii,topaneu_center1_mr_210_0000.nii.gz,564,737,158,3,0.2511,0.2511,0.7,141.63,185.07,110.6,2.7876,int16,0.0,478.0,43.7182,28.5828,0.0,5.0036,78.0,103.0032,False,False
topaneu_center1_mr_211.nii,topaneu_center1_mr_211_0000.nii.gz,360,453,248,3,0.3819,0.3819,0.45,137.5,173.02,111.6,1.1782,int16,0.0,1069.0,74.9385,55.1717,0.0,0.995,147.9978,206.0029,False,False
topaneu_center1_mr_213.nii,topaneu_center1_mr_213_0000.nii.gz,386,497,243,3,0.3819,0.3819,0.4498,147.43,189.83,109.3,1.1776,int16,0.0,974.0,71.1616,48.3837,0.0,2.0064,139.007,185.0058,False,False
topaneu_center1_mr_221.nii,topaneu_center1_mr_221_0000.nii.gz,360,477,230,3,0.3819,0.3819,0.45,137.5,182.19,103.49,1.1781,int16,0.0,880.0,61.0915,43.3925,0.0,2.9944,120.0055,159.9939,False,False
topaneu_center1_mr_229.nii,topaneu_center1_mr_229_0000.nii.gz,376,461,219,3,0.3819,0.3819,0.4501,143.61,176.08,98.57,1.1784,int16,0.0,781.0,52.8984,37.8145,0.0,3.0032,110.9977,148.0009,False,False
topaneu_center1_mr_241.nii,topaneu_center1_mr_241_0000.nii.gz,358,449,287,3,0.3819,0.3819,0.45,136.74,171.49,129.15,1.1782,int16,0.0,1046.0,66.4253,53.5929,0.0,1.0055,134.9976,185.9928,False,False
topaneu_center1_mr_247.nii,topaneu_center1_mr_247_0000.nii.gz,370,485,248,3,0.3819,0.3819,0.4499,141.32,185.24,111.58,1.178,int16,0.0,576.0,45.7483,33.0725,0.0,2.9971,87.9974,105.9977,False,False
topaneu_center1_mr_251.nii,topaneu_center1_mr_251_0000.nii.gz,580,789,266,3,0.2344,0.2344,0.5,135.94,184.92,133.0,2.1333,int16,0.0,875.0,70.6483,51.4077,0.0,5.9949,134.9985,167.0024,False,False
topaneu_center1_mr_262.nii,topaneu_center1_mr_262_0000.nii.gz,574,785,195,3,0.2344,0.2344,0.5001,134.53,183.98,97.51,2.1336,int16,0.0,754.0,69.9443,44.4811,0.0,7.9962,133.0013,177.9985,False,False
topaneu_center1_mr_264.nii,topaneu_center1_mr_264_0000.nii.gz,379,461,233,3,0.3819,0.3819,0.45,144.76,176.08,104.84,1.1781,int16,0.0,944.0,68.5274,48.9111,0.0,2.0022,132.003,182.0011,False,False
topaneu_center1_mr_282.nii,topaneu_center1_mr_282_0000.nii.gz,372,453,248,3,0.3819,0.3819,0.4498,142.08,173.02,111.56,1.1778,int16,0.0,878.0,62.8147,44.6108,0.0,3.001,120.0007,168.0037,False,False
topaneu_center1_mr_287.nii,topaneu_center1_mr_287_0000.nii.gz,376,461,223,3,0.3819,0.3819,0.4497,143.61,176.08,100.29,1.1775,int16,0.0,1105.0,68.6577,49.6762,0.0,0.9948,136.0026,185.0013,False,False
topaneu_center1_mr_290.nii,topaneu_center1_mr_290_0000.nii.gz,360,442,219,3,0.3819,0.3819,0.4501,137.5,168.82,98.56,1.1783,float32,0.0,510.0,36.2359,30.474,0.0,0.0,80.0,98.0,False,False
topaneu_center1_mr_298.nii,topaneu_center1_mr_298_0000.nii.gz,580,680,193,3,0.2455,0.2455,0.5,142.41,166.96,96.5,2.0364,int16,0.0,521.0,60.5909,33.8933,0.0,11.9965,108.0001,146.0008,False,False
topaneu_center1_mr_299.nii,topaneu_center1_mr_299_0000.nii.gz,544,701,142,3,0.2511,0.2511,0.7,136.61,176.03,99.4,2.7875,int16,0.0,755.0,69.3402,43.6351,0.0,7.0045,123.005,174.9973,False,False
topaneu_center1_mr_301.nii,topaneu_center1_mr_301_0000.nii.gz,588,695,154,3,0.2511,0.2511,0.7,147.66,174.53,107.8,2.7876,int16,0.0,1020.0,103.8408,64.662,0.0,11.0039,176.9961,236.9961,False,False
topaneu_center1_mr_302.nii,topaneu_center1_mr_302_0000.nii.gz,582,698,196,3,0.2455,0.2455,0.5,142.9,171.38,98.0,2.0364,int16,0.0,1030.0,104.4549,70.2335,0.0,9.0057,217.0018,306.006,False,False
topaneu_center1_mr_308.nii,topaneu_center1_mr_308_0000.nii.gz,654,740,160,3,0.2344,0.2344,0.7,153.28,173.44,112.0,2.9867,int16,0.0,746.0,86.084,50.0402,0.0,15.0031,162.9965,221.9958,False,False
topaneu_center1_mr_311.nii,topaneu_center1_mr_311_0000.nii.gz,358,441,248,3,0.3819,0.3819,0.45,136.74,168.44,111.59,1.1781,int16,0.0,880.0,60.1382,42.3976,0.0,2.0008,112.9961,142.9941,False,False
topaneu_center1_mr_316.nii,topaneu_center1_mr_316_0000.nii.gz,368,473,248,3,0.3819,0.3819,0.45,140.56,180.66,111.59,1.1781,int16,0.0,605.0,49.9134,33.6243,0.0,2.0033,93.9973,129.0039,False,False
topaneu_center1_mr_325.nii,topaneu_center1_mr_325_0000.nii.gz,372,481,282,3,0.3819,0.3819,0.4501,142.08,183.72,126.92,1.1784,int16,0.0,510.0,42.2282,30.3651,0.0,0.0,87.0039,121.0039,False,False
topaneu_center1_mr_327.nii,topaneu_center1_mr_327_0000.nii.gz,363,480,243,3,0.3819,0.3819,0.45,138.65,183.33,109.35,1.1782,int16,0.0,1289.0,82.931,55.7919,0.0,3.0093,150.998,215.0005,False,False
topaneu_center1_mr_330.nii,topaneu_center1_mr_330_0000.nii.gz,391,437,204,3,0.3819,0.3819,0.45,149.34,166.91,91.8,1.1782,int16,0.0,459.0,40.9375,29.061,0.0,2.0031,82.0016,110.0031,False,False
topaneu_center1_mr_334.nii,topaneu_center1_mr_334_0000.nii.gz,356,418,248,3,0.3819,0.3819,0.45,135.97,159.65,111.6,1.1782,int16,0.0,813.0,58.7165,42.1349,0.0,1.0049,113.9949,152.9981,False,False
topaneu_center1_mr_336.nii,topaneu_center1_mr_336_0000.nii.gz,562,743,160,3,0.2511,0.2511,0.7001,141.13,186.58,112.01,2.7878,int16,0.0,721.0,64.9963,41.3452,0.0,5.996,111.9979,145.0031,False,False
topaneu_center1_mr_342.nii,topaneu_center1_mr_342_0000.nii.gz,576,741,200,3,0.2455,0.2455,0.5,141.43,181.94,100.0,2.0364,int16,0.0,1310.0,119.0623,68.9322,0.0,13.9925,204.9905,302.9981,False,False
topaneu_center1_mr_349.nii,topaneu_center1_mr_349_0000.nii.gz,410,437,233,3,0.3819,0.3819,0.4499,156.6,166.91,104.83,1.1779,int16,0.0,1233.0,82.3822,57.5756,0.0,1.9943,163.0077,207.9929,False,False
topaneu_center1_mr_350.nii,topaneu_center1_mr_350_0000.nii.gz,368,418,209,3,0.3819,0.3819,0.45,140.56,159.65,94.05,1.1782,int16,0.0,842.0,58.9757,43.3322,0.0,2.0043,115.0033,148.9994,False,False
topaneu_center1_mr_354.nii,topaneu_center1_mr_354_0000.nii.gz,544,725,149,3,0.2511,0.2511,0.7,136.61,182.06,104.3,2.7875,int16,0.0,705.0,62.4796,40.9413,0.0,6.0027,112.9979,155.9961,False,False
topaneu_center1_mr_359.nii,topaneu_center1_mr_359_0000.nii.gz,558,695,122,3,0.2511,0.2511,0.7,140.12,174.53,85.4,2.7876,int16,1.9966,464.0,44.8475,27.3003,3.9987,4.9998,80.9958,108.9973,False,False
topaneu_center1_mr_364.nii,topaneu_center1_mr_364_0000.nii.gz,362,449,196,3,0.3819,0.3819,0.4501,138.26,171.49,88.21,1.1784,int16,0.0,1078.0,68.2255,51.8525,0.0,2.0068,147.0067,190.005,False,False
topaneu_center1_mr_365.nii,topaneu_center1_mr_365_0000.nii.gz,364,469,248,3,0.3819,0.3819,0.45,139.03,179.13,111.61,1.1783,int16,0.0,440.0,48.2155,29.6118,0.0,3.0011,88.0,112.0024,False,False
topaneu_center1_mr_374.nii,topaneu_center1_mr_374_0000.nii.gz,387,476,240,3,0.3819,0.3819,0.45,147.81,181.81,108.0,1.1782,int16,0.0,878.0,69.2173,51.2362,0.0,1.9962,151.9937,204.0025,False,False
topaneu_center1_mr_386.nii,topaneu_center1_mr_386_0000.nii.gz,408,457,209,3,0.3819,0.3819,0.4501,155.83,174.55,94.07,1.1784,int16,0.0,678.0,48.5441,37.3878,0.0,3.0002,100.0007,142.0039,False,False
topaneu_center1_mr_393.nii,topaneu_center1_mr_393_0000.nii.gz,375,441,233,3,0.3819,0.3819,0.45,143.23,168.44,104.86,1.1783,int16,0.0,902.0,62.86,48.4745,0.0,1.9957,123.0056,172.9952,False,False
topaneu_center1_mr_396.nii,topaneu_center1_mr_396_0000.nii.gz,332,449,168,3,0.4102,0.4102,0.55,136.17,184.16,92.4,1.3409,int16,0.0,452.0,48.6919,29.8879,0.0,2.0002,85.9997,111.0016,False,False
topaneu_center1_mr_398.nii,topaneu_center1_mr_398_0000.nii.gz,376,457,248,3,0.3819,0.3819,0.45,143.61,174.55,111.6,1.1781,int16,0.0,974.0,67.7262,48.5316,0.0,0.9958,140.9985,183.9951,False,False
topaneu_center1_mr_401.nii,topaneu_center1_mr_401_0000.nii.gz,570,686,181,3,0.2455,0.2455,0.5,139.96,168.44,90.5,2.0364,int16,0.0,1200.0,105.6596,68.393,0.0,9.0089,225.9922,280.9979,False,False
topaneu_center1_mr_411.nii,topaneu_center1_mr_411_0000.nii.gz,544,723,198,3,0.2455,0.2455,0.5,133.57,177.52,99.0,2.0364,int16,0.0,1301.0,108.2657,68.678,0.0,11.9906,200.0088,297.9982,False,False
topaneu_center1_mr_414.nii,topaneu_center1_mr_414_0000.nii.gz,362,434,246,3,0.3819,0.3819,0.45,138.26,165.76,110.69,1.1781,int16,0.0,978.0,55.1858,40.2474,0.0,0.9999,109.9998,149.9943,False,False
topaneu_center1_mr_419.nii,topaneu_center1_mr_419_0000.nii.gz,574,747,200,3,0.2455,0.2455,0.5,140.94,183.42,100.0,2.0364,int16,0.0,1308.0,115.4346,66.6288,0.0,12.9932,199.0092,291.9973,False,False
topaneu_center1_mr_428.nii,topaneu_center1_mr_428_0000.nii.gz,590,707,153,3,0.2344,0.2344,0.7,138.28,165.7,107.1,2.9867,int16,0.0,473.0,46.1903,27.9546,0.0,5.9978,85.0007,114.0007,False,False
topaneu_center1_mr_436.nii,topaneu_center1_mr_436_0000.nii.gz,361,469,154,3,0.3819,0.3819,0.45,137.88,179.13,69.3,1.1782,int16,0.0,947.0,70.1036,50.9698,0.0,1.9941,136.0062,181.0044,False,False
topaneu_center1_mr_439.nii,topaneu_center1_mr_439_0000.nii.gz,358,414,248,3,0.3819,0.3819,0.45,136.74,158.12,111.6,1.1782,int16,0.0,736.0,62.5598,43.9285,0.0,0.9995,124.997,171.9973,False,False
topaneu_center1_mr_443.nii,topaneu_center1_mr_443_0000.nii.gz,347,441,158,3,0.4102,0.4102,0.55,142.32,180.88,86.9,1.3409,int16,0.0,369.0,42.9312,28.4314,0.0,1.9989,94.9991,118.0001,False,False
topaneu_center1_mr_463.nii,topaneu_center1_mr_463_0000.nii.gz,380,504,288,3,0.3819,0.3819,0.45,145.14,192.5,129.59,1.1781,int16,0.0,937.0,68.3452,49.4197,0.0,2.0017,133.9981,161.993,False,False
topaneu_center1_mr_474.nii,topaneu_center1_mr_474_0000.nii.gz,364,437,248,3,0.3819,0.3819,0.4499,139.03,166.91,111.59,1.178,int16,0.0,928.0,65.0741,46.4718,0.0,1.0054,117.9984,153.0028,False,False
topaneu_center1_mr_477.nii,topaneu_center1_mr_477_0000.nii.gz,364,465,219,3,0.3819,0.3819,0.45,139.03,177.6,98.55,1.1782,int16,0.0,1060.0,67.5772,50.5308,0.0,2.0056,125.9999,168.0052,False,False
topaneu_center1_mr_483.nii,topaneu_center1_mr_483_0000.nii.gz,360,441,229,3,0.3819,0.3819,0.45,137.5,168.44,103.05,1.1781,int16,0.0,931.0,67.8255,50.7663,0.0,2.0031,135.001,178.9975,False,False
topaneu_center1_mr_489.nii,topaneu_center1_mr_489_0000.nii.gz,574,680,196,3,0.2455,0.2455,0.5,140.94,166.96,98.0,2.0364,int16,0.0,1092.0,89.5481,57.7925,0.0,10.9975,167.9949,244.9939,False,False
topaneu_center1_mr_490.nii,topaneu_center1_mr_490_0000.nii.gz,352,422,226,3,0.3819,0.3819,0.4499,134.44,161.18,101.67,1.1779,int16,0.0,935.0,71.8198,49.2438,0.0,1.9974,131.0013,194.0052,False,False
topaneu_center1_mr_494.nii,topaneu_center1_mr_494_0000.nii.gz,372,453,199,3,0.3819,0.3819,0.45,142.08,173.02,89.56,1.1783,int16,0.0,838.0,55.8854,43.2485,0.0,1.9948,109.9943,132.0008,False,False
topaneu_center1_mr_496.nii,topaneu_center1_mr_496_0000.nii.gz,364,453,216,3,0.3819,0.3819,0.4498,139.03,173.02,97.16,1.1778,int16,0.0,1023.0,59.5964,45.5138,0.0,1.9981,118.9949,158.0042,False,False
topaneu_center1_mr_499.nii,topaneu_center1_mr_499_0000.nii.gz,348,473,248,3,0.3819,0.3819,0.4499,132.92,180.66,111.58,1.1779,int16,0.0,1021.0,68.8764,49.7149,0.0,1.9942,128.0009,180.0051,False,False
topaneu_center1_mr_501.nii,topaneu_center1_mr_501_0000.nii.gz,384,507,246,3,0.3819,0.3819,0.45,146.67,193.65,110.7,1.1782,float32,0.0,958.0,65.3132,48.9598,0.0,0.0,122.003,169.0004,False,False
topaneu_center1_mr_509.nii,topaneu_center1_mr_509_0000.nii.gz,570,765,152,3,0.2344,0.2344,0.7,133.59,179.3,106.4,2.9867,int16,0.0,364.0,42.746,24.2157,0.0,4.9989,71.0004,91.0014,False,False
topaneu_center1_mr_516.nii,topaneu_center1_mr_516_0000.nii.gz,534,618,156,3,0.2511,0.2511,0.7,134.1,155.19,109.2,2.7876,int16,2.002,400.0,38.4513,21.1494,3.004,4.996,67.002,87.0005,False,False
topaneu_center1_mr_522.nii,topaneu_center1_mr_522_0000.nii.gz,376,469,240,3,0.3819,0.3819,0.45,143.61,179.13,108.0,1.1782,int16,0.0,970.0,69.0944,50.368,0.0,1.9982,133.004,183.9944,False,False
topaneu_center1_mr_523.nii,topaneu_center1_mr_523_0000.nii.gz,596,727,147,3,0.2344,0.2344,0.7,139.69,170.39,102.9,2.9867,int16,0.0,692.0,73.6406,43.6613,0.0,14.0016,126.996,146.9952,False,False
topaneu_center1_mr_525.nii,topaneu_center1_mr_525_0000.nii.gz,580,679,233,3,0.2455,0.2455,0.5,142.41,166.72,116.5,2.0364,int16,0.0,982.0,88.6124,58.9325,0.0,9.9946,172.0055,256.9968,False,False
topaneu_center1_mr_527.nii,topaneu_center1_mr_527_0000.nii.gz,390,457,233,3,0.3819,0.3819,0.4499,148.96,174.55,104.82,1.1778,int16,0.0,1024.0,71.8481,51.9942,0.0,2.0,141.0022,202.0031,False,False
topaneu_center1_mr_528.nii,topaneu_center1_mr_528_0000.nii.gz,394,469,248,3,0.3819,0.3819,0.45,150.49,179.13,111.6,1.1782,int16,0.0,799.0,61.3803,42.3862,0.0,0.9997,113.9948,159.9951,False,False
topaneu_center1_mr_538.nii,topaneu_center1_mr_538_0000.nii.gz,622,759,142,3,0.2344,0.2344,0.7,145.78,177.89,99.4,2.9867,int16,0.0,492.0,39.5208,26.3429,0.0,5.0,69.9994,85.9977,False,False
topaneu_center1_mr_554.nii,topaneu_center1_mr_554_0000.nii.gz,356,437,226,3,0.3819,0.3819,0.45,135.97,166.91,101.7,1.1781,int16,0.0,812.0,67.0236,46.8101,0.0,1.9948,131.9941,173.9973,False,False
topaneu_center1_mr_560.nii,topaneu_center1_mr_560_0000.nii.gz,370,461,232,3,0.3819,0.3819,0.45,141.32,176.08,104.4,1.1782,int16,0.0,962.0,63.1101,47.1908,0.0,1.9964,119.0041,142.0064,False,False
topaneu_center1_mr_561.nii,topaneu_center1_mr_561_0000.nii.gz,598,667,187,3,0.2455,0.2455,0.5,146.83,163.77,93.5,2.0364,int16,0.0,930.0,93.6027,59.0793,0.0,12.0055,183.0057,252.9952,False,False
topaneu_center1_mr_572.nii,topaneu_center1_mr_572_0000.nii.gz,368,461,214,3,0.3819,0.3819,0.45,140.56,176.08,96.31,1.1782,int16,0.0,843.0,55.547,40.889,0.0,1.0033,106.9974,148.0058,False,False
topaneu_center1_mr_577.nii,topaneu_center1_mr_577_0000.nii.gz,375,488,248,3,0.3819,0.3819,0.4502,143.23,186.39,111.65,1.1787,int16,0.0,1333.0,95.7232,64.8292,0.0,2.99,172.994,226.9975,False,False
topaneu_center1_mr_581.nii,topaneu_center1_mr_581_0000.nii.gz,352,434,248,3,0.3819,0.3819,0.45,134.44,165.76,111.61,1.1783,int16,0.0,968.0,70.8748,50.6102,0.0,1.994,143.9999,189.9959,False,False
topaneu_center1_mr_585.nii,topaneu_center1_mr_585_0000.nii.gz,383,485,246,3,0.3819,0.3819,0.45,146.28,185.24,110.7,1.1782,int16,0.0,826.0,66.9011,43.2826,0.0,2.9997,132.9969,176.0016,False,False
