rel_path,folder,filename,ext,size_bytes,size_kb,size_mb
images\._topaneu_center1_mr_050_0000.nii.gz,images,._topaneu_center1_mr_050_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_053_0000.nii.gz,images,._topaneu_center1_mr_053_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_056_0000.nii.gz,images,._topaneu_center1_mr_056_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_061_0000.nii.gz,images,._topaneu_center1_mr_061_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_064_0000.nii.gz,images,._topaneu_center1_mr_064_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_076_0000.nii.gz,images,._topaneu_center1_mr_076_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_085_0000.nii.gz,images,._topaneu_center1_mr_085_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_088_0000.nii.gz,images,._topaneu_center1_mr_088_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_092_0000.nii.gz,images,._topaneu_center1_mr_092_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_113_0000.nii.gz,images,._topaneu_center1_mr_113_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_119_0000.nii.gz,images,._topaneu_center1_mr_119_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_121_0000.nii.gz,images,._topaneu_center1_mr_121_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_129_0000.nii.gz,images,._topaneu_center1_mr_129_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_136_0000.nii.gz,images,._topaneu_center1_mr_136_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_138_0000.nii.gz,images,._topaneu_center1_mr_138_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_144_0000.nii.gz,images,._topaneu_center1_mr_144_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_147_0000.nii.gz,images,._topaneu_center1_mr_147_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_148_0000.nii.gz,images,._topaneu_center1_mr_148_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_149_0000.nii.gz,images,._topaneu_center1_mr_149_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_157_0000.nii.gz,images,._topaneu_center1_mr_157_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_173_0000.nii.gz,images,._topaneu_center1_mr_173_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_177_0000.nii.gz,images,._topaneu_center1_mr_177_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_178_0000.nii.gz,images,._topaneu_center1_mr_178_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_184_0000.nii.gz,images,._topaneu_center1_mr_184_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_188_0000.nii.gz,images,._topaneu_center1_mr_188_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_189_0000.nii.gz,images,._topaneu_center1_mr_189_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_191_0000.nii.gz,images,._topaneu_center1_mr_191_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_193_0000.nii.gz,images,._topaneu_center1_mr_193_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_195_0000.nii.gz,images,._topaneu_center1_mr_195_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_198_0000.nii.gz,images,._topaneu_center1_mr_198_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_200_0000.nii.gz,images,._topaneu_center1_mr_200_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_202_0000.nii.gz,images,._topaneu_center1_mr_202_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_210_0000.nii.gz,images,._topaneu_center1_mr_210_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_211_0000.nii.gz,images,._topaneu_center1_mr_211_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_213_0000.nii.gz,images,._topaneu_center1_mr_213_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_221_0000.nii.gz,images,._topaneu_center1_mr_221_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_229_0000.nii.gz,images,._topaneu_center1_mr_229_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_241_0000.nii.gz,images,._topaneu_center1_mr_241_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_247_0000.nii.gz,images,._topaneu_center1_mr_247_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_251_0000.nii.gz,images,._topaneu_center1_mr_251_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_262_0000.nii.gz,images,._topaneu_center1_mr_262_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_264_0000.nii.gz,images,._topaneu_center1_mr_264_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_282_0000.nii.gz,images,._topaneu_center1_mr_282_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_287_0000.nii.gz,images,._topaneu_center1_mr_287_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_290_0000.nii.gz,images,._topaneu_center1_mr_290_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_298_0000.nii.gz,images,._topaneu_center1_mr_298_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_299_0000.nii.gz,images,._topaneu_center1_mr_299_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_301_0000.nii.gz,images,._topaneu_center1_mr_301_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_302_0000.nii.gz,images,._topaneu_center1_mr_302_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_308_0000.nii.gz,images,._topaneu_center1_mr_308_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_311_0000.nii.gz,images,._topaneu_center1_mr_311_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_316_0000.nii.gz,images,._topaneu_center1_mr_316_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_325_0000.nii.gz,images,._topaneu_center1_mr_325_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_327_0000.nii.gz,images,._topaneu_center1_mr_327_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_330_0000.nii.gz,images,._topaneu_center1_mr_330_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_334_0000.nii.gz,images,._topaneu_center1_mr_334_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_336_0000.nii.gz,images,._topaneu_center1_mr_336_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_342_0000.nii.gz,images,._topaneu_center1_mr_342_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_349_0000.nii.gz,images,._topaneu_center1_mr_349_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_350_0000.nii.gz,images,._topaneu_center1_mr_350_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_354_0000.nii.gz,images,._topaneu_center1_mr_354_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_359_0000.nii.gz,images,._topaneu_center1_mr_359_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_364_0000.nii.gz,images,._topaneu_center1_mr_364_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_365_0000.nii.gz,images,._topaneu_center1_mr_365_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_374_0000.nii.gz,images,._topaneu_center1_mr_374_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_386_0000.nii.gz,images,._topaneu_center1_mr_386_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_393_0000.nii.gz,images,._topaneu_center1_mr_393_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_396_0000.nii.gz,images,._topaneu_center1_mr_396_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_398_0000.nii.gz,images,._topaneu_center1_mr_398_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_401_0000.nii.gz,images,._topaneu_center1_mr_401_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_411_0000.nii.gz,images,._topaneu_center1_mr_411_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_414_0000.nii.gz,images,._topaneu_center1_mr_414_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_419_0000.nii.gz,images,._topaneu_center1_mr_419_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_428_0000.nii.gz,images,._topaneu_center1_mr_428_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_436_0000.nii.gz,images,._topaneu_center1_mr_436_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_439_0000.nii.gz,images,._topaneu_center1_mr_439_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_443_0000.nii.gz,images,._topaneu_center1_mr_443_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_463_0000.nii.gz,images,._topaneu_center1_mr_463_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_474_0000.nii.gz,images,._topaneu_center1_mr_474_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_477_0000.nii.gz,images,._topaneu_center1_mr_477_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_483_0000.nii.gz,images,._topaneu_center1_mr_483_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_489_0000.nii.gz,images,._topaneu_center1_mr_489_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_490_0000.nii.gz,images,._topaneu_center1_mr_490_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_494_0000.nii.gz,images,._topaneu_center1_mr_494_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_496_0000.nii.gz,images,._topaneu_center1_mr_496_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_499_0000.nii.gz,images,._topaneu_center1_mr_499_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_501_0000.nii.gz,images,._topaneu_center1_mr_501_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_509_0000.nii.gz,images,._topaneu_center1_mr_509_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_516_0000.nii.gz,images,._topaneu_center1_mr_516_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_522_0000.nii.gz,images,._topaneu_center1_mr_522_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_523_0000.nii.gz,images,._topaneu_center1_mr_523_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_525_0000.nii.gz,images,._topaneu_center1_mr_525_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_527_0000.nii.gz,images,._topaneu_center1_mr_527_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_528_0000.nii.gz,images,._topaneu_center1_mr_528_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_538_0000.nii.gz,images,._topaneu_center1_mr_538_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_554_0000.nii.gz,images,._topaneu_center1_mr_554_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_560_0000.nii.gz,images,._topaneu_center1_mr_560_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_561_0000.nii.gz,images,._topaneu_center1_mr_561_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_572_0000.nii.gz,images,._topaneu_center1_mr_572_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_577_0000.nii.gz,images,._topaneu_center1_mr_577_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_581_0000.nii.gz,images,._topaneu_center1_mr_581_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_585_0000.nii.gz,images,._topaneu_center1_mr_585_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_586_0000.nii.gz,images,._topaneu_center1_mr_586_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_596_0000.nii.gz,images,._topaneu_center1_mr_596_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_605_0000.nii.gz,images,._topaneu_center1_mr_605_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_607_0000.nii.gz,images,._topaneu_center1_mr_607_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_612_0000.nii.gz,images,._topaneu_center1_mr_612_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_614_0000.nii.gz,images,._topaneu_center1_mr_614_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_615_0000.nii.gz,images,._topaneu_center1_mr_615_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_625_0000.nii.gz,images,._topaneu_center1_mr_625_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_626_0000.nii.gz,images,._topaneu_center1_mr_626_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_630_0000.nii.gz,images,._topaneu_center1_mr_630_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_631_0000.nii.gz,images,._topaneu_center1_mr_631_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_637_0000.nii.gz,images,._topaneu_center1_mr_637_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_638_0000.nii.gz,images,._topaneu_center1_mr_638_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_647_0000.nii.gz,images,._topaneu_center1_mr_647_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_653_0000.nii.gz,images,._topaneu_center1_mr_653_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_660_0000.nii.gz,images,._topaneu_center1_mr_660_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_664_0000.nii.gz,images,._topaneu_center1_mr_664_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_670_0000.nii.gz,images,._topaneu_center1_mr_670_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_681_0000.nii.gz,images,._topaneu_center1_mr_681_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_682_0000.nii.gz,images,._topaneu_center1_mr_682_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_693_0000.nii.gz,images,._topaneu_center1_mr_693_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_694_0000.nii.gz,images,._topaneu_center1_mr_694_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_697_0000.nii.gz,images,._topaneu_center1_mr_697_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_702_0000.nii.gz,images,._topaneu_center1_mr_702_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_713_0000.nii.gz,images,._topaneu_center1_mr_713_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_720_0000.nii.gz,images,._topaneu_center1_mr_720_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_727_0000.nii.gz,images,._topaneu_center1_mr_727_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_729_0000.nii.gz,images,._topaneu_center1_mr_729_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_731_0000.nii.gz,images,._topaneu_center1_mr_731_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_732_0000.nii.gz,images,._topaneu_center1_mr_732_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_740_0000.nii.gz,images,._topaneu_center1_mr_740_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_741_0000.nii.gz,images,._topaneu_center1_mr_741_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_742_0000.nii.gz,images,._topaneu_center1_mr_742_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_744_0000.nii.gz,images,._topaneu_center1_mr_744_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_750_0000.nii.gz,images,._topaneu_center1_mr_750_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_760_0000.nii.gz,images,._topaneu_center1_mr_760_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_763_0000.nii.gz,images,._topaneu_center1_mr_763_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_765_0000.nii.gz,images,._topaneu_center1_mr_765_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_770_0000.nii.gz,images,._topaneu_center1_mr_770_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_772_0000.nii.gz,images,._topaneu_center1_mr_772_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_774_0000.nii.gz,images,._topaneu_center1_mr_774_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_775_0000.nii.gz,images,._topaneu_center1_mr_775_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_776_0000.nii.gz,images,._topaneu_center1_mr_776_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_788_0000.nii.gz,images,._topaneu_center1_mr_788_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_789_0000.nii.gz,images,._topaneu_center1_mr_789_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_790_0000.nii.gz,images,._topaneu_center1_mr_790_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_792_0000.nii.gz,images,._topaneu_center1_mr_792_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_795_0000.nii.gz,images,._topaneu_center1_mr_795_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_797_0000.nii.gz,images,._topaneu_center1_mr_797_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_800_0000.nii.gz,images,._topaneu_center1_mr_800_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_804_0000.nii.gz,images,._topaneu_center1_mr_804_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_807_0000.nii.gz,images,._topaneu_center1_mr_807_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_810_0000.nii.gz,images,._topaneu_center1_mr_810_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_816_0000.nii.gz,images,._topaneu_center1_mr_816_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_819_0000.nii.gz,images,._topaneu_center1_mr_819_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_823_0000.nii.gz,images,._topaneu_center1_mr_823_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_840_0000.nii.gz,images,._topaneu_center1_mr_840_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_842_0000.nii.gz,images,._topaneu_center1_mr_842_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_848_0000.nii.gz,images,._topaneu_center1_mr_848_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_850_0000.nii.gz,images,._topaneu_center1_mr_850_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_871_0000.nii.gz,images,._topaneu_center1_mr_871_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_877_0000.nii.gz,images,._topaneu_center1_mr_877_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_891_0000.nii.gz,images,._topaneu_center1_mr_891_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_892_0000.nii.gz,images,._topaneu_center1_mr_892_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_895_0000.nii.gz,images,._topaneu_center1_mr_895_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_896_0000.nii.gz,images,._topaneu_center1_mr_896_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_902_0000.nii.gz,images,._topaneu_center1_mr_902_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_909_0000.nii.gz,images,._topaneu_center1_mr_909_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_910_0000.nii.gz,images,._topaneu_center1_mr_910_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_911_0000.nii.gz,images,._topaneu_center1_mr_911_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_917_0000.nii.gz,images,._topaneu_center1_mr_917_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_920_0000.nii.gz,images,._topaneu_center1_mr_920_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_921_0000.nii.gz,images,._topaneu_center1_mr_921_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_922_0000.nii.gz,images,._topaneu_center1_mr_922_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_924_0000.nii.gz,images,._topaneu_center1_mr_924_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_926_0000.nii.gz,images,._topaneu_center1_mr_926_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_928_0000.nii.gz,images,._topaneu_center1_mr_928_0000.nii.gz,.nii.gz,4096,4.0,0.0039
